CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Majeru B.O,521131,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Gudapadu B.O,521135,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Bhavadevarapalli B.O,521120,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Nagayalanka East B.O,521120,BO,Non Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Parrachivara B.O,521120,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Sorlagondhi B.O,521120,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Undrapudi B.O,521157,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Bhatlapenumarru B.O,521138,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Mallavolu B.O,521162,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Rayavaram B.O,521162,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Manginapudi B.O,521002,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
